DRE 2025	Janeiro				Fevereiro									11		CHECK	
             Resultado  Institucional	Orçado	Realizado	Variação Mensal	Desvio%	Orçado	Realizado	Variação Mensal	Desvio%	Orçado YTG	Orçado YTD	Realizado	Variação	Variação Mensal	YTG			
Faturamento 	671666.67	444545.69	-227120.98000000004	0.6618546220255354	671666.67	534752.84	-136913.83000000007	0.7961580704905306	8060000.04	1343333.34	444545.69	-898787.6500000001	0.3309273110127677	7615454.35		444545.69	0
Receita 		279821.07				319233.58				1343333.34	599054.65	-744278.6900000001				599054.65	0
Despesas 	Orçado	Realizado	Variação Mensal	Variação Mensal	Orçado	Realizado	Variação Mensal	Variação Mensal					Variação Mensal				
Custos Diretos	213417.59000000005	211630.52000000002	1787.070000000036		208717.59000000005	219913.43	-11195.839999999938		2403882.6477500005	213417.59000000005	211630.52000000002	1787.070000000036	0.9916264165479517	2192252.1277500005		431543.95	-219913.43
Custo equipe - Contencioso	74354.065	73576.315	777.75	0.9895399128480736	72754.065	76342.345	-3588.279999999999	1.0493206805695323	881797.7342499999	74354.065	73576.315	777.75	0.9895399128480736	808221.4192499998		149918.66	-76342.345
Participação/Comissão - Contencioso		0				0					0					0	0
Custo equipe - Econômico	76879.16500000002	76041.035	838.1300000000192	0.9890980865882191	75379.16500000002	80276.745	-4897.579999999973	1.0649725955441396	914114.7525000002	76879.16500000002	76041.035	838.1300000000192	0.9890980865882191	838073.7175000001		156317.78	-80276.745
Participação/comissão - Economico		0				1500					0					1500	-1500
Custo equipe - Arbitragem e Compliance	62184.36000000001	62013.17	171.1900000000096	0.9972470569770275	60584.36000000001	61794.340000000004	-1209.979999999996	1.0199718211102666	607970.1610000001	62184.36000000001	62013.17	171.1900000000096	0.9972470569770275	545956.991		123807.51000000001	-61794.34000000001
Participação/comissão - Arbitragem		0				0					0					0	0
Despesas Indiretas	102906.66333333333	104973.54000000001	-2066.876666666678		100790.32713333333	98454.78	2335.547133333326		1331793.8110333332	102906.66333333333	104973.54000000001	-2066.876666666678	1.0200849643717598	1226820.2710333331		202043.57999999996	-97070.03999999995
Ocupação	27197.48	32337.05	-5139.57	1.1889722871383672	34236.38	39406.76	-5170.380000000005	1.1510200552745355	410635.67999999993	27197.48	32337.05	-5139.57	1.1889722871383672	378298.62999999995		71743.81	-39406.759999999995
Telecomunicações	890	807.1599999999999	82.84000000000015	0.9069213483146066	839.7638000000001	807.1599999999999	32.603800000000206	0.9611750351706037	10127.401800000001	890	807.1599999999999	82.84000000000015	0.9069213483146066	9320.241800000002		1614.3199999999997	-807.1599999999999
Despesas Gerais	7255	6773.44	481.5600000000004	0.9336237077877325	5505	5243.68	261.3199999999997	0.9525304268846504	74921.84999999998	7255	6773.44	481.5600000000004	0.9336237077877325	68148.40999999997		12017.119999999999	-5243.679999999999
Consultoria	23240.8	30035.14	-6794.34	1.2923453581632303	23035.8	22509.85	525.9500000000007	0.977168146971236	244264.88299999997	23240.8	30035.14	-6794.34	1.2923453581632303	214229.74299999996		52544.99	-22509.85
Salários Administração	6426.58	5139.13	1287.4499999999998	0.7996679415801251	6776.58	4807.3	1969.2799999999997	0.709399136437554	82659.53100000002	6426.58	5139.13	1287.4499999999998	0.7996679415801251	77520.40100000001		9946.43	-4807.3
Administrativas 	2996.8033333333333	4300.030000000001	-1303.2266666666674	1.4348722694515603	2996.8033333333333	6892.33	-3895.5266666666666	2.299893998160262	91084.46523333334	2996.8033333333333	4300.030000000001	-1303.2266666666674	1.4348722694515603	86784.43523333334		11192.36	-6892.33
Taxas / Despesas Financeiras	0	0	0		0	0	0		0	0	0	0		0		0	0
Investimentos em Prospecção	4500	2702.45	1797.5500000000002	0.6005444444444444	4500	1166.75	3333.25	0.2592777777777778	96000	4500	2702.45	1797.5500000000002	0.6005444444444444	93297.55		2484.46	217.98999999999978
Endomarketing	100	0	100	0	100	0	100	0	1200	100	0	100	0	1200		0	0
Gestão do Conhecimento	0	692.37	-692.37		0	0	0		2300	0	692.37	-692.37	#DIV/0!	1607.63		692.37	0
Informática 	30300	22186.77	8113.23	0.7322366336633663	22800	17620.95	5179.049999999999	0.7728486842105263	318600	30300	22186.77	8113.23	0.7322366336633663	296413.23		39807.72	-17620.95
Resultado Bruto	355342.4166666666	-36782.99000000002			362158.75286666665	865.3700000000244			4324323.581216667	1027009.0866666667	282450.58999999997					-34532.87999999995	
Margem de bruta	0.5290457790121796	-0.13145182383871243			0.5391941703265798	0.0027107737224887946			0.5365165706893306	0.7645228895060898	0.4714938612028134					-0.05764562548675642	
0.15																	
Impostos	150750.00050000002	41973.1605			150750.00050000002	5641.82	145108.18050000002		1809000.0060000008	150750.00050000002	41973.1605						41973.1605
Investimento amortização	8117	8117			8117	8117	0		97404	8117	8117						8117
Resultado Liquido após impostos	196475.4161666666	-86873.15050000002			203291.75236666662	-12893.449999999975			2417919.575216666	868142.0861666666	232360.42949999997						232360.42949999997
Margem liquida	0.29251922857310547	-0.3104596465877284			0.3026676198875055	-0.04038876486615216			0.29999002025025623	0.6462596142865527	0.38787851742741664						
Bonus 	19647.541616666662	-8687.315050000003			20329.175236666662	-1289.3449999999975			241791.9575216666	86814.20861666667	23226.142949999998						23226.142949999998
																	
0.15	Janeiro 				Fevereiro												
Resultado Contencioso	Orçado	Realizado	Variação Mensal	Desvio%	Orçado	Realizado	Variação Mensal	Desvio%	Orçado YTG	Orçado YTD	Realizado	Variação	Desvio%	YTG			
Receita 	251875.00125000003	72613.09070295	-179261.91054705004	0.2882901849829767	251875.00125000003	138600.12850000002	-113274.87275000001	0.5502734602964097	3022500.015	251875.00125000003	72613.09070295	-179261.91054705004	0.2882901849829767	2949886.92429705		72613.09070295	0
																	
Despesas 	Orçado	Realizado	Variação Mensal	Desvio%	Orçado	Realizado	Variação Mensal	Desvio%	Orçado YTG	Orçado YTD	Realizado	Variação	Desvio%	YTG			
Custo Equipe 	74354.065	73576.315	777.75	0.9895399128480736	72754.065	76342.345	-3588.279999999999	1.0493206805695323	149918.66	74354.065	73576.315	777.75	0.9895399128480736	76342.345		149918.66	-76342.345
Participação/Comissão - Contencioso		0				0					0					0	
Despesas Equipe	2110.49	1060.095	1050.3949999999998	0.5022980445299433	2110.49		2110.49	0	3791.6483333333335	2110.49	1060.095	1050.3949999999998	0.5022980445299433	2731.5533333333333		3791.6483333333335	-2731.5533333333333
Despesas Institucional	36974.28297907791	35425.446697227795	1548.8362818501118	0.9581104444208822	36197.96369085559		36197.96369085559	0	469930.32491461694	36974.28297907791	35425.446697227795	1548.8362818501118	0.9581104444208822	434504.87821738917		35425.446697227795	0
Resultado Bruto	138436.16327092214	-37448.765994277805			140812.48255914444				2398859.3817520496	138436.16327092212	-37448.765994277805					-116522.66432761113	79073.89833333332
Margem de bruta	0.5496224817226562	-0.5157302303447663			0.5590569999417297				0.7936672853091944	0.549622481722656	-0.5157302303447663					-1.6047060275162928	
																	
Impostos 	37781.2501875	10891.9636054425	26889.286582057503	0.2882901849829767	37781.2501875				453375.00225	37781.2501875	10891.9636054425						
