set	status	bytes	items	error
CotacaoFornecedorViews	200	133	0	
BusinessPlanCustoViews	200	133	0	
BusinessPlanCategoriaViews	200	137	0	
DepositoViews	200	124	0	
DescarteSaldoHoraViews	200	133	0	
DesdobramentoViews	200	129	0	
DespFavoritoViews	200	128	0	
DesdobramentoConfigCamposViews	500	4278	0	{
  "odata.error":{
    "code":"","message":{
      "lang":"en-US","value":"Ocorreu um erro."
    },"innererror":{

DesdobramentoResponsavelViews	200	140	0	
DiscrepanciaViews	200	128	0	
EBillingDocumentoValorPadraoViews	200	144	0	
EBillingDocumentoViews	200	133	0	
DiscrepanciaItemViews	200	132	0	
EBillingAtividadeViews	200	133	0	
DevolucaoRemanejamentoProjetoViews	200	145	0	
EBillingEmpresaViews	200	131	0	
EbillingTarefaViews	200	130	0	
EBillingFaseViews	200	128	0	
TSEBillingFaseViews	200	130	0	
TSEBillingDocumentoViews	200	135	0	
ClienteEmLoteViews	200	3933	5	
EnvioEmailViews	200	126	0	
EmprestimoPastaFisicaViews	200	137	0	
EnvolvidoViews	200	125	0	
TrabalhistaEnvolvidoViews	200	136	0	
EnvolvidoGridViews	200	129	0	
ConsultivoEnvolvidoViews	200	135	0	
EscritorioViews	200	1125	2	
EmpresaJuridicoViews	200	935	1	
ExcecaoReceitaAlocacaoViews	200	138	0	
ExportacaoModeloViews	200	132	0	
ExcecaoRevisorCasoViews	200	4581	5	
ExportacaoModeloColunaViews	200	2026	5	
ExportacaoModeloPerfilViews	200	1667	5	
FaseViews	200	1530	5	
CasosRevisaoFixoViews	200	2948	5	
FaturaRedacaoViews	200	5444	5	
FaturaViews	200	5437	5	
FeriadoViews	200	2489	5	
FaturaProfissionalViews	500	1007	0	{
  "result": {
    "error": true,
    "type": "general",
    "message": "Unable to create a map expression from Fat
FaturaCasoViews	200	5244	5	
FornecedorViews	200	2800	5	
FormaCorrecaoViews	200	129	0	
FornecedorFavoritoViews	200	134	0	
FornecedorContaViews	200	2516	5	
FornecedorEnderecoViews	200	5166	5	
GerenciaViews	200	124	0	
FornecedorPlanoContaViews	200	136	0	
LDataCapaProcessoViews	200	133	0	
GerenciaCentroCustoViews	200	135	0	
GerencialDemonstrativoViews	200	485	5	
LDataDistribuicaoViews	200	133	0	
GrupoAvaliacaoConflitoViews	200	138	0	
GrupoDespesaViews	200	128	0	
GrupoMaterialViews	200	1357	5	
GrupoJuridicoViews	200	3195	5	
GrupoEmpresaViews	200	1086	4	
GrupoEmpresaJuridicoViews	200	448	1	
GrupoJuridicoResponsavelViews	200	140	0	
GrupoMaterialProfissionalViews	200	141	0	
GrupoTrabalhoViews	200	509	1	
GrupoTrabalhoProfissionalViews	200	3456	5	
GrupoJuridicoProfissionalViews	200	672	1	
HistPlanejamentoOrcamentoViews	500	419	0	{
  "result": {
    "error": true,
    "type": "general",
    "message": "Non-static method requires a target.",
  
HistoricoDescarteSaldoHoraViews	200	142	0	
IdiomaViews	200	682	2	
IdiomaTipoAtividadeViews	200	2566	5	
IndiceViews	200	1488	4	
IndiceValorViews	200	127	0	
