set	status	bytes	items	error
TemplateWorkflowCondicoesViews	404	303	0	{"Message":"Não foram encontrados recursos HTTP que correspondam ao URI de solicitação 'https://legaldesk.mbclaw.com.br/
TemplateWorkflowProfissionaisViews	404	311	0	{"Message":"Não foram encontrados recursos HTTP que correspondam ao URI de solicitação 'https://legaldesk.mbclaw.com.br/
TemplateWorkflowTarefasViews	500	518	0	{
  "result": {
    "error": true,
    "type": "general",
    "message": "LINQ to Entities does not recognize the me
TemplateWorkflowCriteriosViews	404	303	0	{"Message":"Não foram encontrados recursos HTTP que correspondam ao URI de solicitação 'https://legaldesk.mbclaw.com.br/
TemplateWorkflowTarefasRespViews	500	4278	0	{
  "odata.error":{
    "code":"","message":{
      "lang":"en-US","value":"Ocorreu um erro."
    },"innererror":{

RegraDistribuicaoClienteViews	200	140	0	
RegraDistribuicaoComarcaViews	200	140	0	
RegraDistribuicaoEstadoViews	200	139	0	
RegraDistribuicaoAreaViews	200	137	0	
RegraDistribuicaoViews	200	133	0	
RegraDistribuicaoProfissionaisViews	404	313	0	{"Message":"Não foram encontrados recursos HTTP que correspondam ao URI de solicitação 'https://legaldesk.mbclaw.com.br/
RegraDistribuicaoEscritoriosViews	200	144	0	
RegraSolicitacaoAgendasViews	404	299	0	{"Message":"Não foram encontrados recursos HTTP que correspondam ao URI de solicitação 'https://legaldesk.mbclaw.com.br/
RegraSolicitacaoProfissionaisViews	404	311	0	{"Message":"Não foram encontrados recursos HTTP que correspondam ao URI de solicitação 'https://legaldesk.mbclaw.com.br/
RevisaoTimesheetResumoProfissionalViews	200	3000	5	
TipoSolicitacaoViews	200	131	0	
RegraSolicitacaoViews	200	132	0	
PreFaturaMargemContribuicaoViews	200	812	5	
PreFaturaMargemContribuicaoResumoPreViews	200	1702	5	
PreFaturaMargemContribuicaoResumoCasoViews	200	2598	5	
