set	status	total_count	n_rows_returned
TemplateWorkflowTarefasRespViews	500	{
  "result": {
    "error": true,
    "type": "general",
    "message": "ORA-00942: table or view does not exist",	0
RegraDistribuicaoEstadoViews	200	0	0
RegraDistribuicaoAreaViews	200	0	0
RegraDistribuicaoClienteViews	200	0	0
RegraDistribuicaoComarcaViews	200	0	0
RegraDistribuicaoProfissionaisViews	404	{"Message":"Não foram encontrados recursos HTTP que correspondam ao URI de solicitação 'https://legaldesk.mbclaw.com.br/	0
RegraDistribuicaoViews	200	0	0
RegraSolicitacaoProfissionaisViews	404	{"Message":"Não foram encontrados recursos HTTP que correspondam ao URI de solicitação 'https://legaldesk.mbclaw.com.br/	0
RegraSolicitacaoAgendasViews	404	{"Message":"Não foram encontrados recursos HTTP que correspondam ao URI de solicitação 'https://legaldesk.mbclaw.com.br/	0
RegraDistribuicaoEscritoriosViews	200	0	0
TipoSolicitacaoViews	200	0	0
PreFaturaMargemContribuicaoViews	200	25120	1
RegraSolicitacaoViews	200	0	0
RevisaoTimesheetResumoProfissionalViews	200	341	1
PreFaturaRecoveryViews	ERR	HTTPSConnectionPool(host='legaldesk.mbclaw.com.br', port=443): Read timed out. (read timeout=60)	0
PreFaturaMargemContribuicaoResumoCasoViews	ERR	HTTPSConnectionPool(host='legaldesk.mbclaw.com.br', port=443): Read timed out. (read timeout=60)	0
PreFaturaMargemContribuicaoResumoPreViews	ERR	HTTPSConnectionPool(host='legaldesk.mbclaw.com.br', port=443): Read timed out. (read timeout=60)	0
