name	method	return_type	entity_set	n_params	params
SetDefaultView	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultCompromissoView), preferencia:Edm.String
InsertFilteredIntoQueue	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultCompromissoGridView), profissionais:Edm.String
GetSchedulerDataMensal	GET			4	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultCompromissoGridView), dtBefore:Edm.DateTimeOffset, dtAfter:Edm.DateTimeOffset, profissionais:Edm.String
AlterarResponsavelLote	GET			9	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultCompromissoGridView), tipoEntidade:Edm.String, tipoOperacao:Edm.String, profissionais:Edm.String, profissionalExclusaoId:Edm.String, profissionalInclusaoId:Edm.String, profissionalInclusaoSigla:Edm.String, tipoResponsabilidadeInclusaoId:Edm.String, tipoResponsabilidadeExclusaoId:Edm.String
AlterarRespLoteReport	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultCompromissoGridView), alteracaoId:Edm.String
ScheduleExportation	GET			19	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultCompromissoGridView), exportModelId:Edm.String, assuntoEmail:Edm.String, diaAgendamento:Edm.String, diaSemana:Edm.String, diaPrimeiraQuinzena:Edm.String, diaSegundaQuinzena:Edm.String, nomeAgendamento:Edm.String, modeloTelaId:Edm.String, profileId:Edm.String, exportName:Edm.String, screenInfosJson:Edm.String, exportType:Edm.String, extension:Edm.String, descricao:Edm.String, destinatario:Edm.String, copia:Edm.String, periodicidade:Edm.String, reportFiltersRightBar:Edm.String
SingleScheduleRun	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultCompromissoGridView), singularAgendadorId:Edm.String
Load	GET			1	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultCronometroView)
UpdateAssuntosEmLote	GET			5	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAssuntoGridView), configuracaoId:Edm.String, assuntoData:Edm.String, isFullFilled:Edm.String, fromConfig:Edm.String
InsertFilteredIntoQueue	GET			4	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAssuntoGridView), isDirect:Edm.Boolean, isRelatorio:Edm.Boolean, extensao:Edm.String
